Latitude,Longitude,Value
-22.5,-77.5,1.524839277
-22.5,-72.5,1.687784566
-22.5,-67.5,2.023234237
-22.5,-62.5,2.882606542
-22.5,-57.5,2.99790887
-22.5,-52.5,3.585372687
-22.5,-47.5,4.137681224
-22.5,-42.5,3.283682491
-22.5,-37.5,2.262235459
-22.5,-32.5,2.277767229
-22.5,-27.5,2.364872637
-22.5,-22.5,2.125123446
-22.5,-17.5,1.908548529
-22.5,-12.5,1.8123037
-22.5,-7.5,1.859476787
-22.5,-2.5,1.909068454
-22.5,2.5,1.94090012
-22.5,7.5,2.103858162
-22.5,12.5,2.570126719
-22.5,17.5,2.501314945
-22.5,22.5,2.617503502
-22.5,27.5,1.5505468
-22.5,32.5,2.292754746
-22.5,37.5,1.928659965
-22.5,42.5,1.897198656
-22.5,47.5,1.808688978
-22.5,52.5,1.461993638
-22.5,57.5,1.362679215
-22.5,62.5,1.334289552
-22.5,67.5,1.211096526
-22.5,72.5,1.383871715
-22.5,77.5,1.330842087
-22.5,82.5,1.356271612
-22.5,87.5,1.478218171
-22.5,92.5,1.604480626
-22.5,97.5,1.728221631
-22.5,102.5,1.778125363
-22.5,107.5,1.721744981
-22.5,112.5,1.812342895
-22.5,117.5,2.209612527
-22.5,122.5,3.56334386
-22.5,127.5,3.069688475
-22.5,132.5,3.177794973
-22.5,137.5,3.242960385
-22.5,142.5,2.895409504
-22.5,147.5,2.171114008
-22.5,152.5,2.185176948
-22.5,157.5,2.247338393
-22.5,162.5,2.269842123
-22.5,167.5,2.076739476
-22.5,172.5,2.051814176
-22.5,177.5,1.979175849
-17.5,-177.5,1.931598137
-17.5,-172.5,1.899121749
-17.5,-167.5,1.778355989
-17.5,-162.5,1.635897817
-17.5,-157.5,1.591627428
-17.5,-152.5,1.596944995
-17.5,-147.5,1.584750768
-17.5,-137.5,1.33963609
-17.5,-132.5,1.327402329
-17.5,-127.5,1.178419754
-17.5,-122.5,0.986559208
-17.5,-117.5,0.858218175
-17.5,-112.5,0.820689509
-17.5,-107.5,0.766317592
-17.5,-102.5,0.704154984
-17.5,-97.5,0.697306001
-17.5,-92.5,1.149993677
-17.5,-87.5,1.649343147
-17.5,-82.5,1.902085994
-17.5,-77.5,1.996127801
-17.5,-72.5,1.842297048
-17.5,-67.5,1.457326932
-17.5,-62.5,2.287650038
-17.5,-57.5,2.564663465
-17.5,-52.5,3.91585613
-17.5,-47.5,3.999679402
-17.5,-42.5,4.028197864
-17.5,-37.5,2.53467528
-17.5,-32.5,2.287529085
-17.5,-27.5,2.27940847
-17.5,-22.5,2.204862047
-17.5,-17.5,2.106494304
-17.5,-12.5,2.13111952
-17.5,-7.5,2.210125364
-17.5,-2.5,2.247048134
-17.5,2.5,2.274881555
-17.5,7.5,2.913389583
-17.5,12.5,3.199072936
-17.5,17.5,2.576002228
-17.5,22.5,2.331962705
-17.5,27.5,1.675089213
-17.5,32.5,1.840936848
-17.5,37.5,1.915881714
-17.5,42.5,1.935455638
-17.5,47.5,2.052084485
-17.5,52.5,1.519635271
-17.5,57.5,1.401870539
-17.5,62.5,1.456197149
-17.5,67.5,1.352280938
-17.5,72.5,1.355026917
-17.5,77.5,1.2881862
-17.5,82.5,1.368397437
-17.5,87.5,1.522598761
-17.5,92.5,1.530940409
-17.5,97.5,1.675438007
-17.5,102.5,1.639187268
-17.5,107.5,1.696711331
-17.5,112.5,1.717457259
-17.5,117.5,1.61842691
-17.5,122.5,2.054502279
-17.5,127.5,2.685878624
-17.5,132.5,2.43640879
-17.5,137.5,2.584216456
-17.5,142.5,1.536863433
-17.5,147.5,2.221919793
-17.5,152.5,2.218098521
-17.5,157.5,2.227572552
-17.5,162.5,2.153793915
-17.5,167.5,1.986634693
-17.5,172.5,1.988037589
-17.5,177.5,2.180269505
-12.5,-177.5,1.8669973
-12.5,-172.5,1.706955941
-12.5,-167.5,1.646525972
-12.5,-162.5,1.496407152
-12.5,-157.5,1.376950555
-12.5,-152.5,1.342961196
-12.5,-147.5,1.429279507
-12.5,-137.5,1.180718763
-12.5,-132.5,1.169815223
-12.5,-127.5,1.03521227
-12.5,-122.5,1.007365103
-12.5,-117.5,1.024354869
-12.5,-112.5,1.09520086
-12.5,-107.5,0.974213277
-12.5,-102.5,0.938589006
-12.5,-97.5,1.039455791
-12.5,-92.5,1.522209808
-12.5,-87.5,1.847468393
-12.5,-82.5,2.131709453
-12.5,-77.5,1.944218549
-12.5,-72.5,1.428807838
-12.5,-67.5,1.891035635
-12.5,-52.5,4.008177131
-12.5,-47.5,3.499289271
-12.5,-42.5,3.80684089
-12.5,-37.5,2.60317929
-12.5,-32.5,2.149441227
-12.5,-27.5,2.108221083
-12.5,-22.5,2.091629838
-12.5,-17.5,2.169314738
-12.5,-12.5,2.256245346
-12.5,-7.5,2.414356014
-12.5,-2.5,2.562156399
-12.5,2.5,2.692122084
-12.5,7.5,3.361170844
-12.5,12.5,3.729992799
-12.5,17.5,2.628422541
-12.5,22.5,2.305085204
-12.5,27.5,2.104611649
-12.5,32.5,2.165403511
-12.5,37.5,2.197328532
-12.5,42.5,1.89503856
-12.5,47.5,1.821444862
-12.5,52.5,1.759460308
-12.5,57.5,1.675132259
-12.5,62.5,1.687963508
-12.5,67.5,1.733280174
-12.5,72.5,1.703614959
-12.5,77.5,1.657241377
-12.5,82.5,1.672763863
-12.5,87.5,1.745538103
-12.5,92.5,1.785658834
-12.5,97.5,1.781300105
-12.5,102.5,1.828749313
-12.5,107.5,1.760914909
-12.5,112.5,1.715044542
-12.5,117.5,1.575890578
-12.5,122.5,1.65299894
