Latitude,Longitude,Value,Value_Celsius
-47.5,62.5,2.333847652,1.296582028888889
-47.5,67.5,2.081870873,1.1565949294444444
-47.5,72.5,1.846116985,1.0256205472222222
-47.5,77.5,2.008511358,1.1158396433333333
-47.5,82.5,2.118746754,1.17708153
-47.5,87.5,2.157473311,1.1985962838888888
-47.5,92.5,2.180538469,1.2114102605555557
-47.5,97.5,2.1787757,1.2104309444444443
-47.5,102.5,2.032040878,1.128911598888889
-47.5,107.5,1.827771245,1.0154284694444446
-47.5,112.5,1.826809265,1.0148940361111112
-47.5,117.5,1.975194664,1.097330368888889
-47.5,122.5,1.965707755,1.092059863888889
-47.5,127.5,1.942370587,1.0790947705555556
-47.5,132.5,2.03021247,1.1278958166666666
-47.5,137.5,2.175647099,1.2086928327777775
-47.5,142.5,2.297347022,1.276303901111111
-47.5,147.5,2.329008077,1.2938933761111113
-47.5,152.5,2.221868191,1.2343712172222223
-47.5,157.5,2.289194137,1.2717745205555555
-47.5,162.5,2.108508018,1.1713933433333334
-47.5,167.5,1.787588364,0.9931046466666668
-47.5,172.5,1.606310588,0.892394771111111
-47.5,177.5,1.473611911,0.8186732838888889
-42.5,-177.5,1.945419154,1.080788418888889
-42.5,-172.5,1.869342772,1.038523762222222
-42.5,-167.5,1.889435905,1.0496866138888887
-42.5,-162.5,1.755320462,0.9751780344444444
-42.5,-157.5,1.627613006,0.9042294477777778
-42.5,-152.5,1.498229298,0.8323496100000001
-42.5,-147.5,1.341239275,0.7451329305555555
-42.5,-142.5,1.299145499,0.7217474994444444
-42.5,-137.5,1.286169824,0.7145387911111111
-42.5,-132.5,1.197551361,0.6653063116666666
-42.5,-127.5,1.16578221,0.6476567833333333
-42.5,-122.5,1.126348417,0.6257491205555555
-42.5,-87.5,1.517262736,0.8429237422222222
-42.5,-82.5,1.773806918,0.9854482877777778
-42.5,-77.5,1.818165595,1.0100919972222222
-42.5,-72.5,1.417364544,0.7874247466666666
-42.5,-67.5,2.440920815,1.3560671194444445
-42.5,-62.5,2.687424122,1.493013401111111
-42.5,-57.5,3.125424915,1.736347175
-42.5,-52.5,3.463882295,1.9243790527777778
-42.5,-47.5,3.2732288,1.8184604444444443
-42.5,-42.5,2.884501997,1.6025011094444446
-42.5,-37.5,2.3391423160000002,1.299523508888889
-42.5,-32.5,2.127410207,1.1818945594444445
-42.5,-27.5,1.875939053,1.042188362777778
-42.5,-22.5,1.727668084,0.9598156022222223
-42.5,-17.5,1.627422554,0.9041236411111111
-42.5,-12.5,1.980685845,1.100381025
-42.5,-7.5,2.321137911,1.2895210616666668
-42.5,-2.5,2.498659982,1.3881444344444445
-42.5,2.5,2.615530218,1.4530723433333332
-42.5,7.5,2.85027989,1.5834888277777777
-42.5,12.5,2.850166873,1.5834260405555556
-42.5,17.5,2.83155122,1.573084011111111
-42.5,22.5,2.56584578,1.425469877777778
-42.5,27.5,2.410314796,1.3390637755555557
-42.5,32.5,2.227986435,1.2377702416666667
-42.5,37.5,2.214048764,1.2300270911111113
-42.5,42.5,2.162214392,1.2012302177777778
-42.5,47.5,2.348381922,1.3046566233333334
-42.5,52.5,2.578902415,1.4327235638888889
-42.5,57.5,2.510818316,1.3948990644444443
-42.5,62.5,2.366972518,1.3149847322222223
-42.5,67.5,2.115231902,1.1751288344444444
-42.5,72.5,1.928029236,1.0711273533333334
-42.5,77.5,1.915291708,1.064050948888889
-42.5,82.5,2.007971311,1.1155396172222223
-42.5,87.5,2.071200771,1.1506670950000002
-42.5,92.5,2.16653496,1.2036305333333333
-42.5,97.5,2.188696498,1.215942498888889
-42.5,102.5,1.943660604,1.0798114466666666
-42.5,107.5,1.681036146,0.93390897
-42.5,112.5,1.636449456,0.9091385866666667
-42.5,117.5,1.733162415,0.9628680083333333
-42.5,122.5,1.838782021,1.0215455672222222
-42.5,127.5,1.898570591,1.0547614394444444
-42.5,132.5,2.140772583,1.1893181016666667
-42.5,137.5,2.376869151,1.3204828616666668
-42.5,142.5,2.586466891,1.4369260505555557
-42.5,147.5,2.645770876,1.4698727088888888
-42.5,152.5,2.649415119,1.4718972883333334
-42.5,157.5,2.508314841,1.393508245
-42.5,162.5,2.295328622,1.2751825677777777
-42.5,167.5,2.000450409,1.1113613383333332
-42.5,172.5,2.058491541,1.1436064116666667
-42.5,177.5,1.847912302,1.0266179455555555
-37.5,-177.5,2.062072237,1.1455956872222224
-37.5,-172.5,2.041383152,1.1341017511111111
-37.5,-167.5,2.049438112,1.1385767288888888
-37.5,-162.5,1.988992178,1.1049956544444444
-37.5,-157.5,1.95365378,1.0853632111111111
-37.5,-152.5,1.952785448,1.0848808044444445
-37.5,-147.5,1.987920789,1.1044004383333332
-37.5,-142.5,1.729201835,0.9606676861111111
-37.5,-137.5,1.665747588,0.9254153266666667
-37.5,-132.5,1.640224998,0.91123611
-37.5,-127.5,1.478506414,0.8213924522222222
-37.5,-122.5,1.547624498,0.8597913877777779
-37.5,-117.5,1.599714216,0.88873012
-37.5,-87.5,1.376382659,0.7646570327777777
-37.5,-82.5,1.818235299,1.0101307216666666
-37.5,-77.5,1.757493115,0.9763850638888888
-37.5,-72.5,0.977119597,0.5428442205555555
-37.5,-67.5,1.4683577,0.8157542777777779
-37.5,-62.5,2.128807272,1.1826707066666666
-37.5,-57.5,2.934406886,1.6302260477777777
-37.5,-52.5,3.199217627,1.777343126111111
-37.5,-47.5,3.051190042,1.695105578888889
-37.5,-42.5,2.735680248,1.51982236
-37.5,-37.5,2.241575494,1.245319718888889
-37.5,-32.5,2.068047254,1.1489151411111111
